Year,State,"Poverty Percent, Age 5-17 in Families",Median Household Income
2015,Alabama,25.2,44833
2015,Alaska,13.3,73391
2015,Arizona,23.5,51473
2015,Arkansas,24.5,42046
2015,California,20.3,64483
2015,Colorado,13.6,63945
2015,Connecticut,13.6,71333
2015,Delaware,17.9,61327
2015,District of Columbia,29.3,73115
2015,Florida,22,49416
2015,Georgia,23.6,51225
2015,Hawaii,13.4,73097
2015,Idaho,15.9,48311
2015,Illinois,17.9,59590
2015,Indiana,18.8,50510
2015,Iowa,13.7,54843
2015,Kansas,15.3,53802
2015,Kentucky,23.8,45178
2015,Louisiana,26.7,45829
2015,Maine,16,51419
2015,Maryland,12.8,75784
2015,Massachusetts,13.9,70659
2015,Michigan,20.8,51063
2015,Minnesota,12.1,63459
2015,Mississippi,30.1,40630
2015,Missouri,18.9,50200
2015,Montana,16.8,49650
2015,Nebraska,14.4,55073
2015,Nevada,20.1,52544
2015,New Hampshire,9.8,70003
2015,New Jersey,14.6,72337
2015,New Mexico,25.6,45524
2015,New York,21.3,60805
2015,North Carolina,21.9,47884
2015,North Dakota,10.5,61674
2015,Ohio,19.3,51086
2015,Oklahoma,20.4,48595
2015,Oregon,18.1,54074
2015,Pennsylvania,17.9,55683
2015,Rhode Island,19.3,57265
2015,South Carolina,23.5,47308
2015,South Dakota,16,53263
2015,Tennessee,22.4,47243
2015,Texas,21.9,55668
2015,Utah,11.5,62961
2015,Vermont,12.2,56883
2015,Virginia,14,66263
2015,Washington,14.6,64080
2015,West Virginia,22.9,41969
2015,Wisconsin,14.9,55623
2015,Wyoming,11.2,61213
